"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2035","Проверка удаления товаров из корзины","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Edge","tests.CartTest","checkRemoveProductsFromCart"
"Проверка логина с позитивными кредами","3276","Проверка логина с позитивными кредами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","2262","Проверка корзины с двумя товарами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Firefox","tests.CartTest","checkAddTwoProductsToCart"
"","564","Проверка логина с негативными кредами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCredentials"
"","1928","Проверка логина с негативными кредами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCredentials"
"","1534","Проверка удаления товара из корзины со страницы Products","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsTest","Firefox","tests.ProductsTest","checkRemoveProductFromProductsPage"
"","1979","Проверка удаления товаров из корзины","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Firefox","tests.CartTest","checkRemoveProductsFromCart"
"","879","Проверка добавления товара в корзину со страницы Products","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.ProductsTest","Firefox","tests.ProductsTest","checkAddProductFromProductsPage"
"","2032","End to end проверка успешной покупки","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.EndToEndTest","Edge","tests.EndToEndTest","checkSuccessfulFullPurchaseFlow"
"","1434","Проверка отображения пустой корзины","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Firefox","tests.CartTest","checkEmptyCart"
"","1110","Проверка отображения пустой корзины","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Edge","tests.CartTest","checkEmptyCart"
"","3337","Проверка корзины с двумя товарами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.CartTest","Edge","tests.CartTest","checkAddTwoProductsToCart"
"","612","Проверка логина с негативными кредами","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithNegativeCredentials"
"","2375","End to end проверка успешной покупки","SauceDemo cross browser suite","2026-06-10","passed","2026-06-10","tests.EndToEndTest","Chrome","tests.EndToEndTest","checkSuccessfulFullPurchaseFlow"
